iter	Logloss
0	0.6096834152
1	0.5376138251
2	0.4830905345
3	0.4317693713
4	0.3999499043
5	0.3766911788
6	0.3491617167
7	0.3316365668
8	0.3180408058
9	0.3052057451
10	0.2965370534
11	0.2863903532
12	0.2805054065
13	0.2736522858
14	0.2698521008
15	0.2656648399
16	0.2619238598
17	0.256354077
18	0.2521778897
19	0.2486141192
20	0.2459043526
21	0.2429901741
22	0.2412095366
23	0.2391501172
24	0.236730454
25	0.2358065586
26	0.234708795
27	0.2333204517
28	0.2324836554
29	0.2313638712
30	0.2305691886
31	0.2297503467
32	0.2290416883
33	0.2282200052
34	0.2274576702
35	0.2262481924
36	0.2254631569
37	0.225007323
38	0.2242557895
39	0.2237228381
40	0.2232394256
41	0.2223249344
42	0.2219456287
43	0.221589721
44	0.2213340613
45	0.2210769717
46	0.2207929961
47	0.2204114579
48	0.219926403
49	0.2196313655
50	0.2190910688
51	0.2187943626
52	0.218587545
53	0.2183518716
54	0.2181750229
55	0.2179481564
56	0.2177035787
57	0.217448995
58	0.2173053049
59	0.2171339305
60	0.2169811263
61	0.2164581432
62	0.2163146426
63	0.2161199658
64	0.2159678197
65	0.2158459879
66	0.2157274334
67	0.2153920317
68	0.2152387904
69	0.2151009516
70	0.2149644054
71	0.2148331898
72	0.2146442647
73	0.2144873962
74	0.214362011
75	0.2142337453
76	0.2140891488
77	0.2139733495
78	0.2138468727
79	0.2137244834
80	0.2135805107
81	0.2134571983
82	0.213342603
83	0.2132334911
84	0.2131088771
85	0.2130375124
86	0.2129519255
87	0.2128668912
88	0.2127720305
89	0.2126738131
90	0.2125483502
91	0.2124013193
92	0.2122716182
93	0.212171679
94	0.2120733391
95	0.2119561464
96	0.2117208812
97	0.2116415333
98	0.2115463572
99	0.2114305573
100	0.2112975369
101	0.2112344278
102	0.2111471643
103	0.2110398653
104	0.2109778587
105	0.2109103424
106	0.2108053337
107	0.210748383
108	0.2106679724
109	0.2105893055
110	0.2105188771
111	0.2104161233
112	0.2103500197
113	0.2102833003
114	0.2102171164
115	0.2100766285
116	0.2099971442
117	0.2099082481
118	0.2098366075
119	0.2097276595
120	0.2096363442
121	0.2095580244
122	0.2094924858
123	0.2094475731
124	0.2094077107
125	0.209356681
126	0.209301128
127	0.2092386247
128	0.2091807556
129	0.2091089429
130	0.2090531275
131	0.2089786296
132	0.2088963998
133	0.2088599342
134	0.2088132355
135	0.2087314369
136	0.2086517884
137	0.2085700296
138	0.2083862771
139	0.2083463096
140	0.2082752138
141	0.2081878915
142	0.2081045577
143	0.208030085
144	0.2079701016
145	0.2079368011
146	0.2078904324
147	0.2078474125
148	0.2077795182
149	0.2077079242
150	0.2076347189
151	0.2075753766
152	0.207537815
153	0.2074740104
154	0.2074229192
155	0.2073481533
156	0.2073001502
157	0.2072342098
158	0.2071730855
159	0.2070384635
160	0.2069798369
161	0.2069208313
162	0.2068568035
163	0.2068171796
164	0.2067675625
165	0.2067029563
166	0.2066448798
167	0.2065352226
168	0.2064910904
169	0.2064236764
170	0.2063419627
171	0.2063077942
172	0.2062194456
173	0.2061653108
174	0.2060938909
175	0.2060454004
176	0.2059978876
177	0.2059231856
178	0.2058864964
179	0.2058394103
180	0.2057879794
181	0.2056873531
182	0.2056453282
183	0.2055956255
184	0.2055381256
185	0.2054842847
186	0.2054528022
187	0.2053760742
188	0.2052976466
189	0.2052669788
190	0.2052188976
191	0.2051747293
192	0.2051252004
193	0.2050860544
194	0.2050485817
195	0.2050104702
196	0.2049692483
197	0.2049357905
198	0.204874286
199	0.2047738576
200	0.2047265532
201	0.2045833074
202	0.2045258883
203	0.2044609291
204	0.2043973923
205	0.2043397669
206	0.2043041145
207	0.2042530576
208	0.2042184566
209	0.204166691
210	0.2041037312
211	0.2040347601
212	0.2039770272
213	0.2039027947
214	0.2038717831
215	0.2038354977
216	0.2037654829
217	0.203725684
218	0.2036590589
219	0.2036188089
220	0.2035685385
221	0.2035299193
222	0.2034952446
223	0.203447681
224	0.2034130065
225	0.2033643608
226	0.2033070227
227	0.2032748644
228	0.2032089983
229	0.2031478095
230	0.2030260875
231	0.2029755372
232	0.2029392619
233	0.2028807344
234	0.2028343038
235	0.2027969669
236	0.2027113966
237	0.2026797966
238	0.2026368405
239	0.2025978456
240	0.2025531345
241	0.2024943733
242	0.2024417226
243	0.2023794767
244	0.202327781
245	0.2022515072
246	0.2021883372
247	0.2020985808
248	0.2020437968
249	0.2020049555
250	0.2019703122
251	0.2019339854
252	0.2018818177
253	0.2018354522
254	0.2018002888
255	0.2017628668
256	0.2017237512
257	0.2016829859
258	0.2016410867
259	0.2015848561
260	0.2015380537
261	0.2014785006
262	0.2014296349
263	0.2013933758
264	0.2013463861
265	0.2013014984
266	0.2012645327
267	0.2012309851
268	0.2011854252
269	0.2011540209
270	0.2011217605
271	0.2010507794
272	0.2010020943
273	0.2009713445
274	0.2009279822
275	0.2008558101
276	0.2008139458
277	0.2007306359
278	0.2006942422
279	0.2006507101
280	0.2006071213
281	0.2005529433
282	0.2005152456
283	0.2004778602
284	0.2004336126
285	0.2003951022
286	0.2003471614
287	0.2002844345
288	0.200231743
289	0.2001883165
290	0.200144221
291	0.200091129
292	0.2000397825
293	0.199998908
294	0.1999506208
295	0.1999148181
296	0.1998564069
297	0.1998135933
298	0.1997399078
299	0.1997041609
