iter	Passed	Remaining
0	9	2767
1	16	2502
2	24	2403
3	31	2353
4	39	2318
5	46	2296
6	54	2281
7	61	2261
8	70	2282
9	78	2268
10	85	2255
11	93	2239
12	103	2277
13	110	2259
14	118	2249
15	125	2231
16	134	2232
17	141	2217
18	149	2214
19	159	2231
20	168	2235
21	175	2223
22	183	2214
23	192	2213
24	202	2222
25	210	2214
26	217	2200
27	225	2189
28	233	2179
29	240	2165
30	248	2154
31	255	2140
32	263	2131
33	270	2119
34	278	2110
35	285	2097
36	293	2086
37	301	2075
38	308	2066
39	316	2055
40	323	2046
41	331	2035
42	338	2025
43	346	2014
44	353	2004
45	361	1995
46	369	1986
47	376	1977
48	386	1980
49	400	2004
50	410	2006
51	418	1995
52	425	1984
53	433	1973
54	440	1964
55	448	1954
56	456	1944
57	463	1934
58	471	1924
59	478	1914
60	486	1904
61	493	1894
62	501	1885
63	508	1875
64	516	1865
65	523	1855
66	531	1846
67	541	1848
68	549	1840
69	557	1831
70	565	1822
71	572	1812
72	580	1803
73	587	1795
74	595	1786
75	603	1777
76	610	1767
77	617	1758
78	625	1749
79	632	1740
80	640	1731
81	648	1724
82	657	1719
83	670	1723
84	680	1720
85	690	1717
86	697	1708
87	705	1699
88	713	1690
89	721	1682
90	729	1675
91	736	1665
92	744	1657
93	751	1647
94	759	1638
95	766	1629
96	774	1620
97	781	1611
98	789	1602
99	796	1593
100	804	1584
101	811	1575
102	819	1567
103	826	1558
104	834	1550
105	842	1541
106	849	1532
107	857	1523
108	864	1514
109	872	1506
110	879	1497
111	886	1488
112	894	1480
113	902	1472
114	910	1464
115	917	1455
116	925	1446
117	932	1438
118	940	1429
119	947	1421
120	955	1413
121	963	1405
122	970	1396
123	978	1388
124	985	1380
125	993	1372
126	1002	1366
127	1010	1358
128	1018	1350
129	1027	1343
130	1035	1335
131	1043	1327
132	1050	1318
133	1058	1311
134	1067	1304
135	1075	1296
136	1082	1287
137	1090	1280
138	1098	1272
139	1105	1263
140	1113	1255
141	1121	1247
142	1128	1239
143	1135	1230
144	1143	1222
145	1150	1213
146	1158	1206
147	1165	1197
148	1173	1189
149	1181	1181
150	1188	1173
151	1196	1164
152	1204	1156
153	1211	1148
154	1218	1140
155	1226	1131
156	1233	1123
157	1241	1115
158	1248	1107
159	1256	1099
160	1263	1091
161	1271	1083
162	1278	1074
163	1286	1066
164	1293	1058
165	1301	1050
166	1308	1042
167	1316	1034
168	1324	1026
169	1331	1018
170	1339	1010
171	1347	1002
172	1356	995
173	1366	989
174	1376	983
175	1387	977
176	1395	969
177	1402	961
178	1410	953
179	1417	945
180	1424	936
181	1432	928
182	1440	920
183	1447	912
184	1454	904
185	1462	896
186	1469	888
187	1476	879
188	1484	871
189	1491	863
190	1501	856
191	1508	848
192	1517	841
193	1527	834
194	1536	827
195	1544	819
196	1552	811
197	1559	803
198	1567	795
199	1574	787
200	1582	779
201	1590	771
202	1597	763
203	1605	755
204	1612	747
205	1620	739
206	1627	731
207	1635	723
208	1642	715
209	1650	707
210	1659	700
211	1668	692
212	1678	685
213	1688	678
214	1697	670
215	1705	663
216	1712	655
217	1720	647
218	1727	639
219	1735	630
220	1742	622
221	1749	614
222	1757	606
223	1765	598
224	1772	590
225	1780	582
226	1787	574
227	1795	566
228	1802	558
229	1810	550
230	1817	542
231	1824	534
232	1832	526
233	1839	518
234	1846	510
235	1854	502
236	1861	494
237	1869	487
238	1876	479
239	1884	471
240	1891	463
241	1899	455
242	1906	447
243	1913	439
244	1921	431
245	1928	423
246	1936	415
247	1943	407
248	1950	399
249	1958	391
250	1965	383
251	1973	375
252	1980	367
253	1988	360
254	1996	352
255	2003	344
256	2011	336
257	2018	328
258	2026	320
259	2033	312
260	2040	304
261	2048	297
262	2056	289
263	2063	281
264	2070	273
265	2078	265
266	2085	257
267	2092	249
268	2100	242
269	2108	234
270	2115	226
271	2122	218
272	2130	210
273	2137	202
274	2145	195
275	2153	187
276	2160	179
277	2168	171
278	2175	163
279	2182	155
280	2190	148
281	2197	140
282	2205	132
283	2212	124
284	2219	116
285	2227	109
286	2235	101
287	2242	93
288	2250	85
289	2257	77
290	2265	70
291	2272	62
292	2280	54
293	2287	46
294	2295	38
295	2303	31
296	2310	23
297	2318	15
298	2328	7
299	2339	0
